"101","Van Cortlandt Park - 242 St","1S"
"103","238 St","1S"
"104","231 St","1S"
"106","Marble Hill - 225 St","1S"
"107","215 St","1S"
"108","207 St","1S"
"109","Dyckman St","1S"
"110","191 St","1S"
"111","181 St","1S"
"112","168 St - Washington Hts","1S"
"113","157 St","1S"
"114","145 St","1S"
"115","137 St - City College","1S"
"116","125 St","1S"
"117","116 St - Columbia University","1S"
"118","Cathedral Pkwy","1S"
"119","103 St","1S"
"120","96 St","1S"
"121","86 St","1S"
"122","79 St","1S"
"123","72 St","1S"
"124","66 St - Lincoln Center","1S"
"125","59 St - Columbus Circle","1S"
"126","50 St","1S"
"127","Times Sq - 42 St","1S"
"128","34 St - Penn Station","1S"
"129","28 St","1S"
"130","23 St","1S"
"131","18 St","1S"
"132","14 St","1S"
"133","Christopher St - Sheridan Sq","1S"
"134","Houston St","1S"
"135","Canal St","1S"
"136","Franklin St","1S"
"137","Chambers St","1S"
"138","Cortlandt St","1S"
"139","Rector St","1S"
"142","South Ferry","1S"
"142","South Ferry","1N"
"139","Rector St","1N"
"138","Cortlandt St","1N"
"137","Chambers St","1N"
"136","Franklin St","1N"
"135","Canal St","1N"
"134","Houston St","1N"
"133","Christopher St - Sheridan Sq","1N"
"132","14 St","1N"
"131","18 St","1N"
"130","23 St","1N"
"129","28 St","1N"
"128","34 St - Penn Station","1N"
"127","Times Sq - 42 St","1N"
"126","50 St","1N"
"125","59 St - Columbus Circle","1N"
"124","66 St - Lincoln Center","1N"
"123","72 St","1N"
"122","79 St","1N"
"121","86 St","1N"
"120","96 St","1N"
"119","103 St","1N"
"118","Cathedral Pkwy","1N"
"117","116 St - Columbia University","1N"
"116","125 St","1N"
"115","137 St - City College","1N"
"114","145 St","1N"
"113","157 St","1N"
"112","168 St - Washington Hts","1N"
"111","181 St","1N"
"110","191 St","1N"
"109","Dyckman St","1N"
"108","207 St","1N"
"107","215 St","1N"
"106","Marble Hill - 225 St","1N"
"104","231 St","1N"
"103","238 St","1N"
"101","Van Cortlandt Park - 242 St","1N"
"201","Wakefield - 241 St","2S"
"204","Nereid Av","2S"
"205","233 St","2S"
"206","225 St","2S"
"207","219 St","2S"
"208","Gun Hill Rd","2S"
"209","Burke Av","2S"
"210","Allerton Av","2S"
"211","Pelham Pkwy","2S"
"212","Bronx Park East","2S"
"213","E 180 St","2S"
"214","West Farms Sq - E Tremont Av","2S"
"215","174 St","2S"
"216","Freeman St","2S"
"217","Simpson St","2S"
"218","Intervale Av","2S"
"219","Prospect Av","2S"
"220","Jackson Av","2S"
"221","3 Av - 149 St","2S"
"222","149 St - Grand Concourse","2S"
"224","135 St","2S"
"225","125 St","2S"
"226","116 St","2S"
"227","Central Park North (110 St)","2S"
"120","96 St","2S"
"121","86 St","2S"
"122","79 St","2S"
"123","72 St","2S"
"124","66 St - Lincoln Center","2S"
"125","59 St - Columbus Circle","2S"
"126","50 St","2S"
"127","Times Sq - 42 St","2S"
"128","34 St - Penn Station","2S"
"129","28 St","2S"
"130","23 St","2S"
"131","18 St","2S"
"132","14 St","2S"
"133","Christopher St - Sheridan Sq","2S"
"134","Houston St","2S"
"135","Canal St","2S"
"136","Franklin St","2S"
"137","Chambers St","2S"
"228","Park Pl","2S"
"229","Fulton St","2S"
"230","Wall St","2S"
"231","Clark St","2S"
"232","Borough Hall","2S"
"233","Hoyt St","2S"
"234","Nevins St","2S"
"235","Atlantic Av - Barclays Ctr","2S"
"236","Bergen St","2S"
"237","Grand Army Plaza","2S"
"238","Eastern Pkwy - Brooklyn Museum","2S"
"239","Franklin Av","2S"
"241","President St","2S"
"242","Sterling St","2S"
"243","Winthrop St","2S"
"244","Church Av","2S"
"245","Beverly Rd","2S"
"246","Newkirk Av","2S"
"247","Flatbush Av - Brooklyn College","2S"
"247","Flatbush Av - Brooklyn College","2N"
"246","Newkirk Av","2N"
"245","Beverly Rd","2N"
"244","Church Av","2N"
"243","Winthrop St","2N"
"242","Sterling St","2N"
"241","President St","2N"
"239","Franklin Av","2N"
"238","Eastern Pkwy - Brooklyn Museum","2N"
"237","Grand Army Plaza","2N"
"236","Bergen St","2N"
"235","Atlantic Av - Barclays Ctr","2N"
"234","Nevins St","2N"
"233","Hoyt St","2N"
"232","Borough Hall","2N"
"231","Clark St","2N"
"230","Wall St","2N"
"229","Fulton St","2N"
"228","Park Pl","2N"
"137","Chambers St","2N"
"136","Franklin St","2N"
"135","Canal St","2N"
"134","Houston St","2N"
"133","Christopher St - Sheridan Sq","2N"
"132","14 St","2N"
"131","18 St","2N"
"130","23 St","2N"
"129","28 St","2N"
"128","34 St - Penn Station","2N"
"127","Times Sq - 42 St","2N"
"126","50 St","2N"
"125","59 St - Columbus Circle","2N"
"124","66 St - Lincoln Center","2N"
"123","72 St","2N"
"122","79 St","2N"
"121","86 St","2N"
"120","96 St","2N"
"227","Central Park North (110 St)","2N"
"226","116 St","2N"
"225","125 St","2N"
"224","135 St","2N"
"222","149 St - Grand Concourse","2N"
"221","3 Av - 149 St","2N"
"220","Jackson Av","2N"
"219","Prospect Av","2N"
"218","Intervale Av","2N"
"217","Simpson St","2N"
"216","Freeman St","2N"
"215","174 St","2N"
"214","West Farms Sq - E Tremont Av","2N"
"213","E 180 St","2N"
"212","Bronx Park East","2N"
"211","Pelham Pkwy","2N"
"210","Allerton Av","2N"
"209","Burke Av","2N"
"208","Gun Hill Rd","2N"
"207","219 St","2N"
"206","225 St","2N"
"205","233 St","2N"
"204","Nereid Av","2N"
"201","Wakefield - 241 St","2N"
"248","Nostrand Av","2S"
"249","Kingston Av","2S"
"250","Crown Hts - Utica Av","2S"
"251","Sutter Av - Rutland Rd","2S"
"252","Saratoga Av","2S"
"253","Rockaway Av","2S"
"254","Junius St","2S"
"255","Pennsylvania Av","2S"
"256","Van Siclen Av","2S"
"257","New Lots Av","2S"
"257","New Lots Av","2N"
"256","Van Siclen Av","2N"
"255","Pennsylvania Av","2N"
"254","Junius St","2N"
"253","Rockaway Av","2N"
"252","Saratoga Av","2N"
"251","Sutter Av - Rutland Rd","2N"
"250","Crown Hts - Utica Av","2N"
"249","Kingston Av","2N"
"248","Nostrand Av","2N"
"301","Harlem - 148 St","3S"
"302","145 St","3S"
"224","135 St","3S"
"225","125 St","3S"
"226","116 St","3S"
"227","Central Park North (110 St)","3S"
"120","96 St","3S"
"123","72 St","3S"
"127","Times Sq - 42 St","3S"
"127","Times Sq - 42 St","3N"
"123","72 St","3N"
"120","96 St","3N"
"227","Central Park North (110 St)","3N"
"226","116 St","3N"
"225","125 St","3N"
"224","135 St","3N"
"302","145 St","3N"
"301","Harlem - 148 St","3N"
"257","New Lots Av","3N"
"256","Van Siclen Av","3N"
"255","Pennsylvania Av","3N"
"254","Junius St","3N"
"253","Rockaway Av","3N"
"252","Saratoga Av","3N"
"251","Sutter Av - Rutland Rd","3N"
"250","Crown Hts - Utica Av","3N"
"249","Kingston Av","3N"
